node1,node2
119,118
118,116
116,171
116,115
171,172
171,117
117,128
115,181
182,181
181,120
120,130
130,124
124,125
125,187
187,188
188,186
186,185
187,183
185,184
183,184
183,138
138,139
139,148
148,147
148,144
144,145
145,146
146,166
166,167
139,140
140,141
141,142
142,149
149,164
164,165
149,178
178,143
143,177
177,110
110,111
168,111
111,112
112,113
112,114
115,114
128,127
113,173
173,174
127,122
122,123
123,109
109,110
109,87
177,176
176,175
178,179
179,180
87,88
88,108
108,107
107,106
106,105
105,104
104,103
88,89
89,90
90,91
91,103
91,93
93,92
92,94
94,95
95,101
101,102
102,100
100,131
131,129
131,127
129,126
100,99
99,98
98,97
97,96
96,95
126,121
121,94
87,85
85,133
133,134
134,135
135,136
136,169
169,170
169,137
137,67
85,86
86,83
83,79
79,78
78,77
77,76
76,75
75,74
74,73
73,72
72,71
71,70
70,67
67,68
68,69
69,7
7,8
8,9
9,161
161,162
162,163
161,54
54,55
55,56
56,57
57,159
159,160
159,157
157,158
157,58
58,59
59,60
60,64
64,63
63,62
62,61
61,60
63,65
65,84
84,166
84,164
84,83
79,80
80,81
81,82
65,66
66,70
64,55
54,132
132,53
53,20
20,21
21,22
22,23
23,24
24,25
25,26
26,12
12,11
11,27
27,28
28,29
29,30
30,31
31,32
32,33
33,34
34,152
152,35
35,155
155,33
155,156
156,10
10,11
10,9
12,13
13,14
12,15
15,16
16,150
16,17
17,18
18,19
19,20
53,52
52,51
51,146
51,50
50,49
49,48
48,27
28,47
47,46
46,45
45,153
153,154
154,44
44,45
44,43
43,42
42,41
41,40
40,39
39,38
38,37
37,151
37,36
36,35
50,0
0,1
1,2
2,3
3,4
4,5
5,6
6,7
5,121
